epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4137,4.02131,4.29137,4.01629,2e-05,0.00071,1e-05,0,4.27342,4.43601,4.18541,0.000652778,0.000652778,0.000652778
2,32.7537,2.75051,2.86239,2.76628,0,0,0,0,4.34617,3.91899,4.29553,0.00105819,0.00105819,0.00105819
3,47.0702,2.27643,2.0366,2.09829,0.52425,0.2557,0.2467,0.10964,2.37449,2.51603,2.42083,0.00119961,0.00119961,0.00119961
4,61.2828,1.9831,1.59447,1.75558,0.72609,0.51496,0.56234,0.30166,1.75808,1.40234,1.64891,0.000812,0.000812,0.000812
5,75.3628,1.85202,1.40196,1.62502,0.77996,0.58191,0.65638,0.36901,1.65783,1.28282,1.56166,0.000416,0.000416,0.000416
